CLEAN_NLP,CLEAN_TEXT,dominant_topic,sentimen
mohon bisa dilakukan cek berkala terkait fasilitas asrama air ac agar peserta lebih nyaman dan aman terimakasih,mohon cek berkala terkait fasilitas asrama air ac peserta nyaman aman terimakasih,1,Positif
peningkatan ketersediaan fasilitas wifi yang bisa diakses oleh banyak peserta,peningkatan ketersediaan fasilitas wifi diakses peserta,1,Positif
sudah cukup bagus semogaa kedepannya makin nyaman,bagus semogaa kedepannya nyaman,0,Positif
fasilitas penunjang yang tersedia sudah lengkap namun khusus untuk fasilitas olah raga fitness perlu ditingkatkan mutu pemeliharaannya,fasilitas penunjang tersedia lengkap khusus fasilitas olah raga fitness ditingkatkan mutu pemeliharaannya,1,Positif
luar biasa mungkin perlu dimaksimalkan peran wali kelas dan sarpras diklat terutama wifi microphone white board dan remote tv,dimaksimalkan peran wali kelas sarpras diklat wifi microphone white board remote tv,3,Positif
semoga wifi sampai di tiap kamar,semoga wifi kamar,2,Positif
diklat terselenggara dengan lancar sangat minim kendala terimakasih telah menyediakan fasilitas yang dibutuhkan semoga tetap dipertahankan kualitas layanannya,diklat terselenggara lancar minim kendala terimakasih menyediakan fasilitas dibutuhkan semoga dipertahankan kualitas layanannya,3,Positif
sangat memuaskan,memuaskan,0,Positif
terus di tingkatkan dalam hal layanan kebersihan dan perawatan sarana dan prasarana agar tetap berfungsi dengan baik,tingkatkan layanan kebersihan perawatan sarana prasarana berfungsi,1,Positif
fasilitas wifi ditingkatkan agar peserta dapat mengerjakan tugas dengan lancar,fasilitas wifi ditingkatkan peserta tugas lancar,1,Positif
semoga ke depannya pelatihan dilakukan secara berkelanjutan khususnya bagi pekerja sosial,semoga depannya pelatihan berkelanjutan pekerja sosial,2,Positif
penyelenggaraan diklat sudah sangat baik,penyelenggaraan diklat,3,Positif
perlu peningkatan jumlah fasilitas yang ada,peningkatan fasilitas,1,Positif
semoga semakin berkembang dan terus memberikan manfaat terimakasih banyak,semoga berkembang manfaat terimakasih,2,Positif
semoga wifi sampe kamarkamar,semoga wifi sampe kamarkamar,2,Positif
sebelumya terimakasih atas fasilitas yang diberikan mohon izin memberikan saran untuk perbaikan tidak ada selimut jam sholat tidak tepat waktu jam selesai kelas terlalu sore terimaksih bpsdm provinsi jawa timur sehat selalu orang baik aamiin,sebelumya terimakasih fasilitas mohon izin saran perbaikan selimut jam sholat jam selesai kelas sore terimaksih bpsdm provinsi jawa timur sehat orang aamiin,1,Positif
sudah baik,,0,Positif
sudah sangat baik hafarapan kedepannya sering diadakan diklat untuk jabatan peksos,hafarapan kedepannya diadakan diklat jabatan peksos,3,Positif
semoga semakin banyak kegiatan seperti ini untuk menunjang keilmuan dan juga sharing pengalaman,semoga kegiatan menunjang keilmuan sharing pengalaman,2,Positif
penyelenggaraan diklat sangat sesuai kebutuhan dan narsum dari poltekesos adalah yg terbaik selalu pertahankan narsum dari tenaga ahli di bidangnya seperti ini,penyelenggaraan diklat sesuai kebutuhan narsum poltekesos yg terbaik pertahankan narsum tenaga ahli bidangnya,3,Positif
semoga diklat dilakukan secara rutin dam berkesinambungan,semoga diklat rutin dam berkesinambungan,2,Positif
sudah sangat baik,,0,Positif
sudah baik dan pelayanan baik,pelayanan,2,Positif
beberapa fasilitas mungkin perlu pembaharuan selanjutnya kebersihan alat makan kadang perlu dipertegas,fasilitas pembaharuan kebersihan alat makan kadang dipertegas,1,Positif
porsi materi yang disampaikan materi studi kasus terkini yang dihadapi oleh upt dinsos jatim,porsi materi materi studi terkini dihadapi upt dinsos jatim,3,Netral
pertahan dan tingkatkan,pertahan tingkatkan,3,Positif
penyelenggaraan sangat baik dan lanjutkan,penyelenggaraan lanjutkan,3,Positif
adanya pelatihan diklat serupa bagi pekerja sosial provinsi jawa timur untuk meningkatkan kapasitas seperti diklatpelatihan supervisi,pelatihan diklat pekerja sosial provinsi jawa timur meningkatkan kapasitas diklatpelatihan supervisi,3,Positif
peningkatan sarana pendukung pembelajaran seperti wifi,peningkatan sarana pendukung pembelajaran wifi,1,Positif
sangat seru dan mudah dipahami,seru mudah dipahami,3,Positif
durasi pelaksanaan diklat baiknya diperpanjang agar pembahasan setiap materi pembelajaran dapat dilakukan lebih mendalam,durasi pelaksanaan diklat baiknya diperpanjang pembahasan materi pembelajaran mendalam,3,Positif
terus dioptimalkan,dioptimalkan,1,Positif
perlu diadakan diklat supervisi pekerjaan sosial untuk keberlanjutan diklat manajemen kasus,diadakan diklat supervisi pekerjaan sosial keberlanjutan diklat manajemen,3,Positif
program pelatihan sudah bagus,program pelatihan bagus,0,Positif
pekerja sosial saat bekerja sangat erat dengan psikologis orang yang dihadapi selanjutnya bisa dihadirkan psikolog untuk memberikan materi tentang penerapan tools asessmen atau pengukuran psikis seseorang agar pekerja sosial bisa bekerja lebih efektif dalam penanganan permasalahan penerima pelayanan sosial serta lebih banyak prakteknya terima kasih,pekerja sosial erat psikologis orang dihadapi dihadirkan psikolog materi penerapan tools asessmen pengukuran psikis pekerja sosial efektif penanganan permasalahan penerima pelayanan sosial prakteknya terima kasih,3,Positif
sudah sangat baik,,0,Positif
program pelatihan manajemen kasus telah baik dan perlu dipertahankan diharapkan diadakan kembali pelatihan bagi pejabat fungsional dengan teman yang lain sebagai peningkatan kompetensi terimakasih,program pelatihan manajemen dipertahankan diharapkan diadakan pelatihan pejabat fungsional teman peningkatan kompetensi terimakasih,2,Positif
semoga ke depannya diklat dengan materi yang berbeda diadakan kembali,semoga depannya diklat materi berbeda diadakan,3,Positif
program pelatihan diklat sudah berjalan baik,program pelatihan diklat berjalan,3,Positif
perbanyak peningkatan kompetensi seperti ini untuk tenaga fungsional,perbanyak peningkatan kompetensi tenaga fungsional,3,Positif
semoga semakin berkembang dan memberikan manfaat,semoga berkembang manfaat,2,Positif
perlu diadakan diklat supervisi pekerjaan sosial untuk keberlanjutan diklat ini,diadakan diklat supervisi pekerjaan sosial keberlanjutan diklat,3,Positif
saya sangat senang bisa mengikuti pelatihan ini karena sudah lama menantikan hal ini pelatihan seperti ini baiknya dilakukan setahun sekali untuk pejabat fungsional pekerja sosial praktek dilapangan terkadang lupa dengan teori yang dipelajari saat kuliah perlu penguatan kembali terimakasih,senang mengikuti pelatihan pelatihan baiknya setahun pejabat fungsional pekerja sosial praktek dilapangan terkadang lupa teori dipelajari kuliah penguatan terimakasih,2,Positif
sudah baik,,0,Positif
sudah baik,,0,Positif
mungkin bisa diadakan secara rutin dan bisa diakses lintas jabatan,diadakan rutin diakses lintas jabatan,3,Positif
narasumber dari poltekesos sangat mumpuni disini peserta diklat dapat menangkap dan kelas jadi lebih hidup ketika ada kelas dari dosen poltekesos,narasumber poltekesos mumpuni peserta diklat menangkap kelas hidup kelas dosen poltekesos,3,Positif
semoga pelatihan ini bisa kembali dilaksanakan,semoga pelatihan dilaksanakan,2,Positif
semoga terus semakin lebih baik lagi,semoga,2,Positif
waktu pembelajarannya jangan terlalu malam,pembelajarannya malam,3,Negatif
penambahan materi yang sesuai konteks praktik,penambahan materi sesuai konteks praktik,3,Positif
perlu ditambahkan diskusi penanganan permasalahan sosial yang terkini dan seringkali dihadapi oleh kami permasalahan sosial yang begitu dinamis memerlukan rekomendasi akademisi agar pelayanan lebih optimal dan komprehensif,diskusi penanganan permasalahan sosial terkini seringkali dihadapi permasalahan sosial dinamis rekomendasi akademisi pelayanan optimal komprehensif,3,Positif
pertahankan dan tingkatkan,pertahankan tingkatkan,3,Positif
lebih sering lagi mengadakan pelatihan untuk peksos per periodik waktu dan juga bisa dirinci lagi per kluster untuk bisa mewujudkan buku saku standar pelayanan ppks berbasis pekerjaan sosial per kluater agar pelayanan kepada ppks bisa terpadu dan terstandart dengan arahan bpsdm kemensos dan poltekesos,mengadakan pelatihan peksos periodik dirinci kluster mewujudkan buku saku standar pelayanan ppks berbasis pekerjaan sosial kluater pelayanan ppks terpadu terstandart arahan bpsdm kemensos poltekesos,3,Positif
sangat bermanfaat,bermanfaat,2,Positif
mohin ditingkatkan kepedulian terhadap peserta terutama pemantauan pada proses belajar mengajar sarana dan prasarana mohon ditingkatkan seperti wifi flipchart dan remot tv,mohin ditingkatkan kepedulian peserta pemantauan proses belajar mengajar sarana prasarana mohon ditingkatkan wifi flipchart remot tv,1,Positif
kecepatan wifi diharapkan dapat di tingkatkan,kecepatan wifi diharapkan tingkatkan,2,Positif
semoga wifi sampai didalam kamar,semoga wifi didalam kamar,2,Positif
diklat yang dilaksanakan secara keseluruhan sudah baik dan bisa diikuti akan tetapi ada beberapa hal yang mungkin dapat lebih diperhatikan antara lain adalah kesedian white board dan flip chart serta alat pengajar lainnya hendaknya pada setiap ruangan lebih dilengkapi sarana prasarana lain seperti remot tv dan mic juga harap diperhatikan terkait dengan batreinya,diklat dilaksanakan diikuti diperhatikan kesedian white board flip chart alat pengajar ruangan dilengkapi sarana prasarana remot tv mic harap diperhatikan terkait batreinya,3,Positif
adanya evaluasi dan monitoring yang akan dilakukan serta adanya keberlanjutan diklat fungsional yang lain yang sangat mendukung pengembangan sdm terutama asn pada umumnya dan peksos pada khususnya,evaluasi monitoring keberlanjutan diklat fungsional mendukung pengembangan sdm asn peksos,3,Positif
luar biasa mungkin kedepannya mic jangan sampai telat batrai dan remote bisa setiap kelas punya sendiri sendiri panjang umur kebaikan,kedepannya mic telat batrai remote kelas umur kebaikan,3,Positif
adakan lagi diklat untuk pekerja sosial kedepannya,adakan diklat pekerja sosial kedepannya,3,Positif
sudah sangat baik,,0,Positif
untuk jf semoga nantinya bisa mendapatkan pelatihan seperti ini untuk meningkatkan skill,jf semoga pelatihan meningkatkan skill,2,Positif
beberapa kali mic mati alat penunjang belajar seperti laptop tv belum dinyalakan ketika hal tersebut terjadi petugas tidak berada di sekitar kelas jadi harus mencari dan menunggu agak lama kertas planoboard tidak ada di setiap kelas harus bergantian dengan kelas sebelah,kali mic mati alat penunjang belajar laptop tv dinyalakan petugas kelas mencari menunggu kertas planoboard kelas bergantian kelas sebelah,3,Positif
fasilitas dan sarpras memadai namun beberaoa kali petugas tidak berada di dekat kelas sehingga saat dibutuhkan peserta diklat masih perlu mencari,fasilitas sarpras memadai beberaoa kali petugas kelas dibutuhkan peserta diklat mencari,3,Positif
lebih baik jangkauan wifi diperluas karena tidak semua kamar asrama integrasi terjangkau wifi lebih baik jika minimarket buka sampai malamsetiap hari karena peserta on boarding tidak hanya saat jam kerja pada hari minggu tgl tidak ada sarapan makan siang namun tidak ada informasi lebih baik jika petugas cleaninglaundry tidak seenaknya masuk kamar asrama saat tidak ada orang karena ada privasi dan barang berharga,jangkauan wifi diperluas kamar asrama integrasi terjangkau wifi minimarket buka malamsetiap peserta on boarding jam kerja minggu tgl sarapan makan siang informasi petugas cleaninglaundry masuk kamar asrama orang privasi barang berharga,2,Positif
mantap lanjutkan,mantap lanjutkan,0,Positif
untuk fasilitas sound sistem seperti microfon agar disediakan baterai cadangan,fasilitas sound sistem microfon disediakan baterai cadangan,1,Positif
kebersihan alat makan lebih ditingkatkan terutama gelas,kebersihan alat makan ditingkatkan gelas,1,Positif
mantap luar biasa,mantap,0,Positif
pelayanan sudah sangat baik semoga dapat dipertahankan,pelayanan semoga dipertahankan,2,Positif
saya sangat kagum untuk kepedulian dan berterimakasih pada semua pihak yang menyelenggarakan diklat ini sehat selalu semua untuk bapakibu,kagum kepedulian berterimakasih menyelenggarakan diklat sehat bapakibu,3,Positif
